STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
Arunachal Pradesh,DIBANG VALLEY,2013,2,4,0,0,0,0,2,1,1,0,0,5,10,17,3,14,1,1,1,0,1,13,0,2,0,0,0,6,26,91
Arunachal Pradesh,K/KUMEY,2013,2,2,0,0,0,0,1,1,0,0,0,0,3,4,0,4,2,2,1,0,0,10,0,1,0,0,0,1,12,41
Arunachal Pradesh,KAMENG EAST,2013,5,4,0,2,0,2,16,12,4,3,0,0,12,22,0,22,2,0,3,0,0,57,0,6,0,0,0,4,33,169
Arunachal Pradesh,KAMENG WEST,2013,8,0,0,2,0,2,3,0,3,2,0,2,14,35,12,23,1,2,1,0,0,6,0,0,0,0,0,10,78,164
Arunachal Pradesh,LOHIT,2013,12,4,0,10,0,10,29,22,7,3,0,9,18,57,14,43,7,1,2,0,2,61,0,10,0,2,0,18,85,330
Arunachal Pradesh,LONGDING,2013,2,1,0,1,0,1,3,2,1,0,0,0,6,11,0,11,0,0,1,0,0,23,0,2,0,0,0,2,26,78
Arunachal Pradesh,PAPUM PARE,2013,5,4,1,18,0,18,44,22,22,3,0,14,46,148,87,61,3,9,35,0,7,63,0,24,1,20,0,12,143,600
Arunachal Pradesh,RURAL,2013,1,3,1,3,0,3,9,5,4,1,0,4,5,22,6,16,2,0,3,0,1,22,0,5,0,1,0,4,22,109
Arunachal Pradesh,SIANG EAST,2013,6,0,0,10,0,10,6,2,4,1,0,7,17,61,11,50,2,0,5,0,0,34,0,6,0,1,0,14,47,217
Arunachal Pradesh,SIANG UPPER,2013,3,1,0,0,0,0,2,2,0,0,0,2,5,12,1,11,0,2,1,0,1,19,0,4,0,0,0,2,15,69
Arunachal Pradesh,SIANG WEST,2013,4,4,1,7,0,7,6,6,0,3,0,10,17,34,8,26,8,2,5,0,2,65,0,9,2,3,0,35,46,263
Arunachal Pradesh,SUBANSIRI LOWER,2013,4,1,0,5,0,5,0,0,0,1,0,3,8,18,3,15,2,0,4,0,1,27,0,3,0,0,0,0,32,109
Arunachal Pradesh,SUBANSIRI UPPER,2013,6,0,0,10,0,10,5,2,3,3,0,2,5,10,1,9,1,2,1,0,6,45,0,8,0,0,0,2,58,164
Arunachal Pradesh,TAWANG,2013,0,0,0,2,0,2,1,1,0,0,0,0,3,11,0,11,0,0,1,0,0,7,0,6,0,1,0,7,8,47
Arunachal Pradesh,TIRAP,2013,2,5,0,0,0,0,3,2,1,1,0,7,10,13,4,9,1,0,2,0,1,13,0,5,0,0,0,2,28,93
Arunachal Pradesh,UPPER DIBANG VALLEY,2013,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,4,0,0,0,0,0,0,6,15
Arunachal Pradesh,ZZ TOTAL,2013,69,36,3,75,0,75,142,86,56,24,0,75,196,514,153,361,36,25,72,0,23,498,0,93,3,29,0,129,734,2776
Assam,BAKSA,2013,42,3,1,20,0,20,53,46,7,3,0,11,40,125,64,61,0,7,23,0,4,50,1,9,0,32,0,33,311,768
Assam,BARPETA,2013,46,18,0,148,0,148,349,348,1,20,0,31,335,433,111,322,236,168,230,5,19,159,18,341,0,1016,0,445,4580,8597
Assam,BIEO,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7
Assam,BONGAIGAON,2013,20,2,0,68,0,68,120,95,25,7,0,8,63,127,65,62,22,15,39,1,8,101,9,4,0,100,0,82,769,1565
Assam,C.I.D.,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,37,0,0,0,0,0,0,0,0,0,16,58
Assam,CACHAR,2013,59,3,0,79,0,79,227,221,6,12,0,17,206,821,336,485,226,54,97,1,52,80,12,25,0,537,0,94,2278,4880
Assam,CHIRANG,2013,33,0,0,30,0,30,70,50,20,2,0,10,20,76,25,51,35,10,33,1,12,5,1,21,0,78,0,17,309,763
Assam,DARRANG,2013,35,0,0,92,0,92,147,145,2,6,0,13,145,225,93,132,66,44,118,2,5,297,3,239,0,378,0,63,581,2459
Assam,DHEMAJI,2013,22,17,0,42,0,42,99,70,29,12,0,24,49,148,53,95,24,22,47,1,8,232,1,77,0,85,0,77,410,1397
Assam,DHUBRI,2013,62,48,4,190,0,190,443,350,93,43,5,30,269,407,112,295,698,183,303,6,90,1060,9,452,11,1080,0,77,1387,6857
Assam,DIBRUGARH,2013,80,7,7,65,0,65,149,108,41,11,0,34,123,662,165,497,16,110,41,4,20,858,0,151,0,239,0,79,873,3529
Assam,G.R.P.,2013,13,0,0,0,0,0,8,6,2,1,0,5,2,156,2,154,9,1,2,0,0,0,0,0,0,0,0,0,120,317
Assam,GOALPARA,2013,70,67,2,73,0,73,136,103,33,18,0,23,185,249,87,162,112,0,79,0,145,137,7,89,0,326,0,106,498,2322
Assam,GOLAGHAT,2013,63,42,0,85,0,85,226,181,45,8,0,51,98,285,117,168,25,28,50,1,16,556,3,76,0,284,0,230,717,2844
Assam,GUWAHATI CITY,2013,61,20,12,103,0,103,451,432,19,10,0,244,828,2295,1082,1213,52,176,476,37,8,329,15,207,0,561,0,189,6088,12162
Assam,HAILAKANDI,2013,14,0,0,60,0,60,90,71,19,1,0,8,45,150,36,114,112,16,52,1,16,17,2,7,0,169,0,33,621,1414
Assam,HAMREN,2013,11,0,0,14,0,14,15,9,6,0,0,1,12,18,3,15,2,6,1,0,0,0,0,0,0,0,0,0,168,248
Assam,JORHAT,2013,67,18,3,79,0,79,197,160,37,2,0,33,166,510,199,311,25,73,166,3,18,545,0,117,0,307,0,103,1046,3478
Assam,KAMRUP,2013,41,17,2,66,0,66,172,154,18,3,0,24,206,463,163,300,97,77,62,2,3,196,3,86,0,305,0,146,1339,3310
Assam,KARBI ANGLONG,2013,23,15,0,8,0,8,58,43,15,7,0,9,43,96,62,34,25,21,15,2,71,43,0,16,0,39,0,75,71,637
Assam,KARIMGANJ,2013,39,11,0,44,0,44,115,108,7,12,0,10,132,183,19,164,67,22,46,0,23,20,9,9,0,266,0,28,1375,2411
Assam,KOKRAJHAR,2013,49,18,1,32,0,32,103,79,24,5,0,7,53,291,157,134,86,25,39,0,112,111,5,32,0,134,2,50,293,1448
Assam,LAKHIMPUR,2013,44,13,0,59,0,59,134,123,11,1,0,6,103,166,61,105,25,21,42,1,7,92,3,55,0,300,0,45,1164,2281
Assam,MORIGAON,2013,20,25,0,76,0,76,123,123,0,1,1,12,74,141,65,76,83,6,71,1,8,392,8,45,0,271,0,101,420,1879
Assam,N.C.HILLS,2013,13,10,10,5,0,5,33,24,9,0,0,1,20,51,3,48,1,0,6,0,5,13,3,0,0,0,0,0,94,265
Assam,NAGAON,2013,96,87,6,190,0,190,442,438,4,34,0,160,407,566,225,341,257,137,165,4,56,939,23,103,3,1120,0,232,2366,7393
Assam,NALBARI,2013,27,7,0,44,0,44,102,90,12,5,3,25,124,223,29,194,25,30,48,2,6,328,3,84,0,178,0,53,733,2050
Assam,R.P.O.,2013,4,0,0,9,0,9,5,3,2,2,0,0,0,1,0,1,4,4,9,1,0,0,0,0,0,0,0,0,46,85
Assam,SIBSAGAR,2013,78,48,2,60,0,60,200,179,21,1,0,40,155,464,123,341,30,23,123,4,34,760,5,53,0,311,0,143,839,3373
Assam,SONITPUR,2013,94,30,0,99,0,99,251,205,46,11,0,23,186,544,175,369,47,84,87,1,23,553,15,34,0,300,0,425,1352,4159
Assam,STF,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
Assam,TINSUKIA,2013,84,30,4,77,0,77,201,201,0,4,0,48,147,511,57,454,0,74,23,1,13,109,7,34,0,140,0,79,1518,3104
Assam,UDALGURI,2013,43,23,0,20,0,20,82,57,25,4,0,15,55,126,40,86,22,26,28,2,11,189,5,43,0,80,0,59,280,1113
Assam,ZZ TOTAL,2013,1354,579,54,1937,0,1937,4801,4222,579,246,9,923,4291,10515,3729,6786,2429,1472,2558,84,793,8171,170,2409,14,8636,2,3064,32675,87186
Bihar,ARARIA,2013,51,36,4,52,0,52,114,90,24,10,0,25,38,289,67,222,235,30,14,3,15,104,12,10,0,19,5,52,1695,2813
Bihar,ARWAL,2013,17,0,0,6,0,6,34,32,2,0,0,6,27,77,15,62,51,0,30,0,0,76,15,3,0,30,0,0,537,909
Bihar,AURANGABAD,2013,101,281,0,19,0,19,59,52,7,26,0,35,95,365,68,297,334,27,125,0,22,1204,28,37,0,141,0,0,749,3648
Bihar,BAGAHA,2013,45,0,0,15,0,15,68,64,4,0,0,12,28,183,13,170,94,13,51,0,4,0,14,17,0,55,0,14,1426,2039
Bihar,BANKA,2013,68,36,9,33,0,33,87,69,18,11,1,14,58,169,46,123,205,58,22,0,9,183,28,1,1,69,0,94,909,2065
Bihar,BEGUSARAI,2013,107,219,2,24,0,24,175,125,50,20,0,56,104,589,198,391,482,21,141,0,6,503,28,55,0,93,0,0,2694,5319
Bihar,BETTIAH,2013,76,193,9,39,0,39,173,154,19,6,1,22,138,624,198,426,549,47,174,5,28,105,26,0,0,148,0,66,2845,5274
Bihar,BHABHUA,2013,34,54,2,16,0,16,59,52,7,4,1,21,65,196,75,121,128,19,15,0,23,743,27,0,0,49,0,106,298,1860
Bihar,BHAGALPUR,2013,103,65,19,51,0,51,147,123,24,9,0,31,134,456,199,257,277,42,69,3,4,166,19,40,0,115,0,124,1716,3590
Bihar,BHOJPUR,2013,95,160,7,23,0,23,124,93,31,8,1,33,148,423,105,318,126,52,205,0,25,2526,38,3,0,137,0,133,621,4888
Bihar,BUXAR,2013,56,62,3,16,0,16,77,63,14,11,1,48,101,415,163,252,224,57,61,0,26,642,9,29,0,78,0,37,880,2833
Bihar,DARBHANGA,2013,77,119,5,38,0,38,227,196,31,14,1,36,103,506,159,347,565,76,150,1,55,271,33,4,1,343,0,167,2882,5674
Bihar,GAYA,2013,208,49,6,45,0,45,208,175,33,39,6,73,212,1204,362,842,503,38,167,0,4,875,37,0,0,212,0,320,3610,7816
Bihar,GOPALGANJ,2013,81,11,2,11,0,11,125,85,40,10,0,31,103,280,104,176,417,41,95,0,18,2069,33,0,0,143,0,71,270,3811
Bihar,JAMALPUR RLY.,2013,8,0,0,1,0,1,3,0,3,2,0,8,1,223,13,210,3,0,0,0,0,22,0,0,0,1,0,0,34,306
Bihar,JAMUI,2013,54,183,2,24,0,24,62,37,25,15,0,19,50,96,18,78,211,17,36,0,14,514,19,2,0,104,0,193,327,1942
Bihar,JEHANABAD,2013,34,0,2,14,0,14,37,26,11,13,0,22,37,194,14,180,141,20,67,2,11,708,30,5,0,57,0,60,522,1976
Bihar,KATIHAR,2013,61,59,0,86,0,86,164,148,16,15,1,21,39,397,198,199,208,21,92,2,1,1430,21,1,0,99,0,114,861,3693
Bihar,KATIHAR RLY.,2013,10,4,2,1,0,1,5,4,1,1,8,8,0,151,0,151,2,2,5,0,0,33,0,1,0,2,0,0,31,266
Bihar,KHAGARIA,2013,67,76,2,8,0,8,73,59,14,7,0,22,23,170,44,126,135,4,32,0,16,1251,13,5,0,25,0,106,448,2483
Bihar,KISHANGANJ,2013,42,21,8,52,0,52,107,90,17,7,0,14,68,145,29,116,179,22,70,12,8,255,7,0,0,65,0,21,725,1828
Bihar,LAKHISARAI,2013,45,90,3,9,0,9,40,26,14,3,0,19,24,125,35,90,156,7,41,0,7,297,11,0,0,70,0,46,333,1326
Bihar,MADHEPURA,2013,46,58,14,14,0,14,87,70,17,1,2,23,41,226,65,161,334,30,80,0,7,826,17,3,0,64,0,60,812,2745
Bihar,MADHUBANI,2013,80,0,0,37,0,37,158,141,17,15,0,28,90,388,78,310,265,25,50,2,5,1350,28,1,0,210,0,150,1780,4662
Bihar,MOTIHARI,2013,164,719,11,25,0,25,260,226,34,44,0,44,235,549,152,397,918,106,175,8,26,1610,65,5,14,196,0,66,3015,8255
Bihar,MUNGER,2013,60,30,2,7,0,7,75,55,20,3,0,26,55,336,95,241,129,68,12,4,0,310,13,5,0,66,0,59,935,2195
Bihar,MUZAFFARPUR,2013,208,25,29,43,0,43,382,295,87,61,0,113,292,1876,859,1017,539,54,106,217,12,2465,48,5,27,81,2,128,2308,9021
Bihar,MUZAFFARPUR RLY.,2013,13,2,0,3,0,3,6,5,1,5,2,10,4,337,54,283,8,0,7,2,0,18,0,1,0,0,0,0,188,606
Bihar,NALANDA,2013,112,82,41,11,0,11,136,107,29,9,1,34,120,340,104,236,167,43,153,1,18,2892,81,18,0,174,0,160,1147,5740
Bihar,NAUGACHIA,2013,49,14,6,10,0,10,36,26,10,3,0,15,18,60,17,43,85,12,65,0,3,125,16,19,0,69,0,70,889,1564
Bihar,NAWADAH,2013,97,37,2,20,0,20,75,51,24,18,0,26,47,203,62,141,333,32,112,0,8,712,23,3,0,122,0,156,963,2989
Bihar,PATNA,2013,286,121,5,76,0,76,544,412,132,37,2,186,591,4314,1755,2559,617,20,1004,16,5,1526,96,17,2,459,0,497,7881,18302
Bihar,PATNA RLY.,2013,23,10,4,2,0,2,26,11,15,1,1,8,3,774,71,703,15,3,11,1,0,0,3,12,0,1,0,0,207,1105
Bihar,PURNEA,2013,89,203,4,56,0,56,111,93,18,14,0,27,56,289,63,226,212,82,141,0,128,871,21,0,7,19,0,162,1458,3950
Bihar,ROHTAS,2013,110,97,2,60,0,60,168,135,33,9,3,58,172,615,193,422,265,50,195,1,11,1988,48,5,0,97,0,196,619,4769
Bihar,SAHARSA,2013,30,90,7,14,0,14,100,64,36,6,0,24,29,201,42,159,246,55,42,0,11,317,10,0,0,79,0,61,1470,2792
Bihar,SAMASTIPUR,2013,83,115,17,35,0,35,152,128,24,10,5,51,73,431,128,303,397,30,36,0,23,823,32,8,0,116,0,169,3196,5802
Bihar,SARAN,2013,123,262,5,16,0,16,199,125,74,16,0,45,142,650,205,445,363,61,116,1,32,1637,69,0,0,116,0,145,1494,5492
Bihar,SHEIKHPURA,2013,17,90,0,10,0,10,40,34,6,6,0,4,31,87,27,60,87,44,24,0,0,191,8,0,0,47,0,29,401,1116
Bihar,SHEOHAR,2013,23,23,3,3,0,3,49,41,8,12,0,5,14,57,16,41,76,8,17,0,12,270,7,0,0,19,0,14,157,769
Bihar,SITAMARHI,2013,101,24,9,26,0,26,220,182,38,37,9,84,203,650,276,374,249,10,31,0,32,2142,24,3,0,140,0,156,1174,5324
Bihar,SIWAN,2013,105,18,2,19,0,19,234,190,44,6,0,60,119,502,241,261,397,19,240,0,12,0,45,1,0,112,0,0,3499,5390
Bihar,SUPAUL,2013,55,15,0,34,0,34,144,103,41,6,5,17,62,324,48,276,508,81,55,0,0,1310,19,5,0,78,0,106,106,2930
Bihar,VAISHALI,2013,127,136,9,24,0,24,200,162,38,29,2,57,192,937,491,446,496,237,148,1,19,315,61,7,0,213,0,124,2244,5578
Bihar,ZZ TOTAL,2013,3441,3889,259,1128,0,1128,5570,4419,1151,579,53,1521,4185,21423,7165,14258,11931,1684,4482,282,660,35675,1182,331,52,4533,7,4232,60356,167455
Chhattisgarh,BALOD,2013,13,13,3,20,0,20,30,20,10,1,0,1,47,61,15,46,20,2,22,0,4,52,3,67,2,11,0,96,747,1215
Chhattisgarh,BALODA BAZAR,2013,21,15,1,55,0,55,144,129,15,1,0,13,198,151,72,79,29,7,23,2,12,706,4,110,22,31,0,134,605,2284
Chhattisgarh,BALRAMPUR,2013,40,11,0,84,0,84,17,0,17,3,0,10,27,40,8,32,20,2,11,2,4,74,8,50,2,31,1,93,585,1115
Chhattisgarh,BEMETARA,2013,18,8,0,28,0,28,38,27,11,0,0,6,80,112,34,78,15,4,12,1,11,19,5,57,2,19,0,100,950,1485
Chhattisgarh,BILASPUR,2013,77,36,1,96,0,96,305,295,10,3,2,58,477,496,274,222,99,16,88,3,31,1779,13,308,10,130,0,222,897,5147
Chhattisgarh,BIZAPUR,2013,31,61,0,6,0,6,17,10,7,2,0,1,16,3,0,3,9,1,2,0,4,9,0,6,1,1,0,14,134,318
Chhattisgarh,DANTEWARA,2013,30,13,0,9,0,9,6,6,0,1,0,1,19,16,3,13,3,0,2,0,12,25,0,9,0,1,0,32,191,370
Chhattisgarh,DHAMTARI,2013,16,14,0,30,0,30,33,29,4,0,0,5,116,85,45,40,16,0,13,0,2,55,0,59,1,14,0,101,629,1189
Chhattisgarh,DURG,2013,42,57,1,106,0,106,108,83,25,4,0,41,434,702,325,377,38,13,140,2,33,149,9,236,34,147,0,255,4341,6892
Chhattisgarh,GARIYABAND,2013,9,17,0,32,0,32,26,23,3,2,0,3,39,46,17,29,14,0,31,0,3,26,0,24,8,12,0,62,512,866
Chhattisgarh,GRP RAIPUR,2013,1,3,0,2,0,2,2,1,1,0,0,3,2,193,2,191,2,0,2,0,1,8,0,3,0,1,0,0,43,266
Chhattisgarh,JAGDALPUR,2013,36,18,0,53,0,53,51,40,11,1,0,10,69,77,53,24,15,7,16,0,7,427,2,30,1,16,0,108,504,1448
Chhattisgarh,JANJGIR,2013,44,27,3,56,0,56,200,158,42,3,1,15,195,266,122,144,132,5,36,2,22,1248,11,161,11,138,0,181,713,3470
Chhattisgarh,JASHPUR,2013,60,9,1,88,0,88,68,41,27,1,0,9,57,81,19,62,11,5,21,2,8,73,3,52,3,25,0,119,577,1273
Chhattisgarh,KABIRDHAM,2013,21,8,1,30,0,30,33,29,4,0,0,4,65,66,24,42,10,2,18,2,3,589,3,72,3,11,0,66,376,1383
Chhattisgarh,KANKER,2013,39,38,2,51,0,51,48,39,9,1,0,2,38,38,15,23,15,0,17,0,11,18,2,27,2,29,0,85,669,1132
Chhattisgarh,KONDAGAON,2013,27,13,1,19,0,19,29,25,4,2,0,2,11,17,11,6,11,0,6,0,6,122,0,13,0,6,0,86,248,619
Chhattisgarh,KORBA,2013,48,10,1,57,0,57,78,63,15,0,0,10,119,195,89,106,32,1,38,2,10,648,4,71,9,66,0,126,689,2214
Chhattisgarh,KORIYA,2013,30,14,0,63,0,63,68,64,4,1,0,9,130,89,22,67,16,1,24,1,3,620,3,88,4,55,0,61,361,1641
Chhattisgarh,MAHASAMUND,2013,19,13,1,49,0,49,116,102,14,1,0,12,163,196,71,125,33,5,36,2,11,95,8,104,11,48,0,150,1323,2396
Chhattisgarh,MUNGELI,2013,27,7,0,23,0,23,61,61,0,0,0,6,86,77,9,68,36,1,8,1,11,60,4,44,3,23,0,53,688,1219
Chhattisgarh,NARAYANPUR,2013,6,27,0,10,0,10,5,3,2,1,0,3,14,7,1,6,0,0,3,0,1,47,0,3,0,2,0,9,51,189
Chhattisgarh,RAIGARH,2013,87,49,2,90,0,90,163,163,0,7,1,39,213,390,217,173,69,13,57,2,18,701,5,126,10,53,0,229,1026,3350
Chhattisgarh,RAIPUR,2013,67,82,3,139,0,139,428,327,101,4,1,54,588,1396,791,605,70,29,231,10,57,2327,11,263,32,173,0,400,2542,8907
Chhattisgarh,RAJNANDGAON,2013,32,30,2,46,0,46,81,72,9,1,0,6,158,173,78,95,24,20,55,4,12,62,7,74,4,32,0,175,1868,2866
Chhattisgarh,SARGUJA,2013,37,17,1,71,0,71,19,19,0,0,0,16,88,106,58,48,22,2,33,1,12,61,0,118,1,35,0,117,1000,1757
Chhattisgarh,SUKMA,2013,30,26,0,8,0,8,5,3,2,4,0,1,7,13,8,5,1,0,3,0,4,4,1,2,1,4,0,16,83,213
Chhattisgarh,SURAJPUR,2013,37,11,0,59,0,59,56,49,7,3,0,11,71,97,24,73,24,1,27,1,15,542,3,84,3,67,0,114,420,1646
Chhattisgarh,ZZ TOTAL,2013,945,647,24,1380,0,1380,2235,1881,354,47,5,351,3527,5189,2407,2782,786,137,975,40,328,10546,109,2261,180,1181,1,3204,22772,56870
Goa,NORTH GOA,2013,27,31,1,48,0,48,50,31,19,6,0,17,219,699,219,480,72,61,103,15,23,232,0,103,36,17,0,114,721,2595
